Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
67,University of Wisconsin - Madison ,17.4,43,513,20,1,5,3,1,4,3,2,0,0,0,0.0
69,University of Montreal ,17.0,24,441,10,2,2,2,0,0,0,2,0,0,0,0.0
70,Arizona State University ,16.6,29,353,5,1,9,11,0,1,2,4,0,2,1,0.0
71,University of Copenhagen ,16.4,29,320,4,7,3,1,5,0,0,1,0,0,0,0.0
72,Univ. of California - Irvine ,16.2,23,316,7,1,2,3,0,2,2,0,0,0,1,0.0
73,University College London ,15.9,28,298,7,0,5,3,0,1,1,4,0,0,0,0.0
74,Bar-Ilan University ,15.7,21,404,4,7,1,7,2,1,0,2,0,0,0,0.0
74,University of North Carolina ,15.7,21,305,4,3,5,3,0,0,0,1,0,0,0,0.0
76,Sapienza University of Rome ,15.1,30,299,2,2,5,8,3,0,0,3,0,0,0,0.0
77,LMU Munich ,14.8,14,248,2,3,1,4,0,0,0,0,0,0,1,0.0
78,Oregon State University ,14.6,20,347,6,2,3,5,1,0,1,2,0,0,0,0.0
79,Harvard University ,14.4,22,369,7,1,2,6,2,1,0,0,0,1,0,0.0
79,University of Rochester ,14.4,16,332,1,3,4,3,1,0,0,0,0,1,0,0.0
81,Simon Fraser University ,14.3,34,313,2,1,11,8,2,2,0,2,0,1,0,0.0
81,University at Buffalo ,14.3,30,347,8,1,5,3,2,3,1,3,0,1,0,0.0
83,Boston University ,13.8,24,402,10,1,5,0,4,2,3,1,0,0,0,0.0
84,Kyoto University ,13.1,21,216,4,5,3,3,0,1,0,1,0,0,0,0.0
84,UESTC ,13.1,55,536,2,1,19,24,0,3,0,0,0,0,0,0.0
86,Texas A&M University ,13.0,28,191,6,1,0,3,0,0,2,3,0,0,0,0.0
87,BUPT ,12.9,54,328,0,13,13,15,0,1,0,2,0,0,1,0.0
87,IIT Bombay ,12.9,21,215,3,4,1,6,1,1,0,0,0,0,0,0.0
89,National Institute of Informatics ,12.8,29,212,2,2,5,10,3,0,0,1,0,0,0,0.0
90,Yale University ,12.7,23,261,8,2,0,0,4,0,0,2,0,0,0,0.0
91,Beihang University ,12.6,34,440,0,6,15,17,0,3,0,1,0,0,1,0.0
92,Sun Yat-sen University ,12.4,15,501,1,1,9,5,0,0,0,0,0,0,0,0.0
93,TU Darmstadt ,12.3,6,239,0,1,1,1,0,0,0,1,0,0,0,0.0
94,Ohio State University ,12.1,28,194,10,3,1,3,2,2,1,0,0,0,0,0.0
95,Ben-Gurion University of the Negev ,12.0,18,266,2,2,2,9,0,0,2,0,0,0,0,0.0
95,USTC ,12.0,22,283,1,0,2,10,0,0,0,2,0,0,0,0.0
97,University of Central Florida ,11.8,24,338,5,1,7,4,0,0,2,3,0,1,0,0.0
98,Rice University ,11.7,17,265,4,1,3,4,0,1,0,2,0,0,0,0.0
99,POSTECH ,11.6,23,292,5,0,11,2,0,1,1,0,0,0,0,0.0
99,TU Delft ,11.6,38,136,2,0,4,7,0,0,0,1,0,0,0,0.0
99,University of Virginia ,11.6,27,169,4,1,2,8,0,0,5,2,0,0,3,0.0
102,Michigan State University ,11.3,16,285,2,2,4,4,0,0,1,0,0,0,0,0.0
102,Universidade de Lisboa ,11.3,37,179,1,4,2,8,0,1,0,6,0,0,2,0.0
102,University of Cambridge ,11.3,29,251,8,4,3,0,0,0,1,2,0,0,0,0.0
105,Australian National University ,11.2,27,404,2,0,6,8,0,0,0,1,0,0,0,0.0
105,TU Munich ,11.2,27,464,5,0,7,2,0,2,1,6,0,0,0,0.0
107,Northwestern University ,11.0,27,243,4,2,4,1,4,0,2,0,0,1,0,0.0
108,George Mason University ,10.9,34,163,1,2,4,10,1,0,3,5,0,1,1,0.0
109,University of Trento ,10.7,15,223,0,3,3,3,0,0,1,0,0,0,0,0.0
110,National Taiwan University ,10.5,18,159,2,4,4,2,0,0,1,1,0,0,0,0.0
111,University of Adelaide ,10.4,20,558,0,0,13,4,0,0,1,2,0,0,1,0.0
111,University of Colorado Boulder ,10.4,27,145,3,4,0,2,0,0,0,3,0,0,0,0.0
113,Saarland University ,9.7,17,180,1,5,3,1,1,0,0,0,0,0,0,0.0
113,University of Stuttgart ,9.7,15,137,2,5,1,2,0,0,1,0,0,0,1,0.0
115,Monash University ,9.5,31,194,3,6,0,5,0,0,0,0,0,0,2,0.0
115,ShanghaiTech University ,9.5,18,302,1,1,9,3,0,0,0,1,0,0,0,0.0
115,University of Chicago ,9.5,24,165,5,1,2,2,1,3,5,0,0,0,2,0.0
118,University of Surrey ,9.4,19,419,2,1,12,1,0,0,1,2,0,0,0,0.0
119,TTI Chicago ,9.3,11,259,3,3,4,0,1,0,0,1,0,0,0,0.0
119,UNSW ,9.3,32,311,2,0,0,16,0,4,0,2,0,0,0,0.0
121,University of Minnesota ,9.2,21,138,3,2,1,5,0,0,1,4,0,0,0,0.0
122,RMIT University ,9.1,32,130,1,2,2,9,0,2,0,0,0,0,0,0.0
122,Soochow University ,9.1,28,369,0,18,3,16,0,0,0,0,0,0,0,0.0
124,KAUST ,8.9,16,312,3,0,4,3,0,1,0,0,0,0,0,0.0
124,University of Utah ,8.9,20,146,4,3,2,1,2,1,0,2,0,0,0,0.0
126,Washington University in St. Louis ,8.8,16,215,4,1,2,7,0,0,1,1,0,0,0,0.0
127,City University of Hong Kong ,8.7,31,235,4,2,10,7,0,0,1,0,0,2,1,0.0
127,Westlake University ,8.7,4,236,2,1,2,0,0,0,0,0,0,0,0,0.0
129,IIT Delhi ,8.4,16,139,1,1,4,3,2,3,0,0,0,0,0,0.0
129,The Hong Kong Polytechnic University ,8.4,15,226,0,3,3,4,0,0,1,0,0,0,1,0.0
131,University of Hong Kong ,8.2,17,242,0,2,5,1,2,2,0,1,0,0,0,0.0
131,University of Notre Dame ,8.2,16,167,0,3,3,8,0,0,0,1,0,2,1,0.0
133,Univ. of California - Davis ,8.1,15,106,3,1,1,4,1,0,1,0,0,0,1,0.0
133,Univ. of California - Riverside ,8.1,21,160,3,2,3,0,1,2,3,0,0,1,1,0.0
135,Temple University ,8.0,10,124,2,2,2,5,0,0,0,0,0,0,0,0.0
136,Xi'an Jiaotong University ,7.9,22,218,1,1,7,6,0,3,1,1,0,0,3,0.0
137,University of Warwick ,7.8,21,146,1,3,3,2,3,3,0,1,0,0,0,0.0
138,Cardiff University ,7.7,18,145,0,2,5,5,0,0,0,0,0,0,0,0.0
139,NWPU ,7.6,16,344,0,0,9,5,0,0,0,1,0,0,0,0.0
139,Xiamen University ,7.6,22,320,0,2,12,6,0,0,0,0,0,1,0,0.0
141,Politecnico di Milano ,7.5,21,127,1,0,3,2,0,0,1,3,0,0,0,0.0
142,Graz University of Technology ,7.4,18,250,2,0,4,2,0,0,0,2,0,0,0,0.0
142,Heidelberg University ,7.4,10,219,0,1,6,0,0,0,0,0,0,0,0,0.0
142,SUTD ,7.4,14,165,1,3,4,0,0,1,0,0,0,0,0,0.0
142,Xidian University ,7.4,35,315,1,0,16,21,0,0,0,0,0,1,1,0.0
146,RWTH Aachen ,7.3,9,125,0,2,1,1,1,0,0,1,0,0,0,0.0
147,Hong Kong Baptist University ,7.2,16,145,1,2,2,6,0,4,0,0,0,0,0,0.0
147,IIT Madras ,7.2,13,112,3,1,1,4,1,0,0,0,0,0,0,0.0
147,Rochester Institute of Technology ,7.2,22,95,3,4,3,6,0,1,0,1,0,0,0,0.0
150,McGill University ,7.1,15,122,2,4,1,0,0,0,0,2,0,0,0,0.0
150,University of Liverpool ,7.1,36,183,3,1,3,12,5,0,0,3,0,0,1,0.0
152,Queen Mary University of London ,7.0,19,130,0,3,3,2,0,0,0,1,0,0,0,0.0
152,Weizmann Institute of Science ,7.0,18,228,5,0,5,1,6,0,0,0,0,0,0,0.0
154,Indiana University ,6.8,26,106,10,1,2,3,2,0,1,1,0,1,0,0.0
155,CRIStAL ,6.7,24,116,7,2,3,3,1,0,3,0,0,0,0,0.0
156,IISc Bangalore ,6.6,16,155,4,2,0,8,2,0,1,1,0,0,2,0.0
156,TU Berlin ,6.6,20,197,7,1,1,3,1,2,0,1,0,0,0,0.0
158,University of Tübingen ,6.5,26,383,11,0,5,0,1,0,0,5,0,1,0,0.0
159,Aalto University ,6.4,17,115,6,0,1,2,1,0,0,0,0,0,0,0.0
159,University of Florida ,6.4,16,98,2,0,3,2,0,2,3,0,0,0,0,0.0
161,CISPA Helmholtz Center ,6.3,17,152,6,0,1,2,0,0,7,0,0,0,2,0.0
161,IST Austria ,6.3,10,117,4,0,2,0,2,0,0,0,0,0,0,0.0
161,TU Wien ,6.3,22,190,1,1,0,8,0,0,0,1,0,1,1,0.0
164,Brigham Young University ,6.2,16,87,2,2,1,4,0,0,1,1,0,0,0,0.0
164,Macquarie University ,6.2,14,164,0,2,0,6,0,0,0,0,0,0,0,0.0
164,Radboud University ,6.2,20,40,3,2,2,1,0,0,1,0,0,0,0,0.0
164,University of Arizona ,6.2,11,137,4,4,1,0,0,0,0,0,0,0,0,0.0
