Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
298,University of Georgia ,2.7,9,47,1,0,1,3,0,0,2,1,0,0,2,0.0
298,University of Guelph ,2.7,6,56,1,0,3,0,0,1,0,1,0,0,0,0.0
304,Bielefeld University ,2.6,6,21,1,1,0,0,0,0,0,2,0,0,0,0.0
304,Hanyang University ,2.6,6,28,0,0,2,0,0,0,0,1,0,0,0,0.0
304,Tampere University ,2.6,6,40,1,0,2,3,0,0,0,1,0,0,0,0.0
307,University of Bremen ,2.5,9,52,0,0,1,2,1,0,0,3,0,0,0,0.0
307,University of Strathclyde ,2.5,10,9,0,1,0,1,0,0,1,1,0,0,0,0.0
307,Western University ,2.5,6,26,2,1,0,1,0,0,0,0,0,0,0,0.0
310,CWI ,2.4,8,21,2,0,0,1,0,1,0,0,0,0,0,0.0
310,EURECOM ,2.4,9,36,3,0,0,0,0,1,2,0,0,0,0,0.0
310,Loughborough University ,2.4,6,63,1,0,0,2,0,0,0,0,0,0,0,0.0
310,University of Arkansas ,2.4,5,28,0,0,0,2,0,0,0,0,0,0,0,0.0
310,University of North Texas ,2.4,9,15,1,1,0,3,0,0,0,0,0,0,0,0.0
310,University of Nottingham ,2.4,9,25,0,0,2,4,0,0,0,0,0,0,0,0.0
316,Ariel University ,2.3,6,32,1,0,0,3,1,0,0,0,0,0,0,0.0
316,Chalmers/GU ,2.3,7,14,0,1,0,1,0,0,1,0,0,0,0,0.0
316,UCCS ,2.3,5,26,0,0,2,2,0,0,0,0,0,0,0,0.0
316,UFRGS ,2.3,11,26,0,0,1,4,0,0,0,1,0,0,0,0.0
316,Universidad de Chile ,2.3,6,14,2,0,0,1,0,0,0,0,0,0,0,0.0
316,University of Groningen ,2.3,6,48,1,5,0,0,0,0,0,0,0,0,0,0.0
316,University of Klagenfurt ,2.3,8,42,0,1,0,5,0,0,0,0,0,0,0,0.0
316,University of Louisiana - Lafayette ,2.3,8,35,1,0,0,4,0,0,0,0,0,0,0,0.0
316,University of Mainz ,2.3,4,13,1,0,1,0,1,0,0,1,0,0,0,0.0
316,University of Western Australia ,2.3,7,60,0,0,4,1,0,0,0,0,0,0,0,0.0
326,Bauhaus University Weimar ,2.2,2,34,0,1,0,0,0,0,0,0,0,0,0,0.0
326,Boston College ,2.2,4,32,2,1,1,1,0,0,0,0,0,0,0,0.0
326,Colorado State University ,2.2,5,25,0,0,2,1,0,0,0,0,0,0,0,0.0
326,IIT Jodhpur ,2.2,6,40,0,0,5,3,0,0,0,0,0,0,0,0.0
326,Trinity College Dublin ,2.2,9,14,1,2,0,0,0,0,0,0,0,0,0,0.0
326,University of Bern ,2.2,1,49,0,0,1,0,0,0,0,0,0,0,0,0.0
326,University of Memphis ,2.2,6,20,1,1,1,1,0,0,0,1,0,0,0,0.0
326,Utrecht University ,2.2,11,43,0,0,2,6,1,1,0,0,0,0,0,0.0
334,Florida International University ,2.1,7,19,0,1,1,1,0,0,0,0,0,0,0,0.0
334,Florida State University ,2.1,7,8,0,0,0,1,0,1,1,0,0,0,0,0.0
334,ISI Kolkata ,2.1,6,14,1,1,2,2,0,0,0,0,0,0,0,0.0
334,Middle East Technical University ,2.1,8,26,0,0,3,0,0,0,0,1,0,0,0,0.0
334,NTNU ,2.1,9,11,1,0,0,1,0,0,0,0,0,0,0,0.0
334,University of Konstanz ,2.1,6,32,1,0,1,0,0,0,0,0,0,0,0,0.0
334,University of Missouri ,2.1,7,17,0,0,2,1,0,0,0,0,0,0,0,0.0
334,University of Nebraska ,2.1,5,35,1,0,0,3,1,0,0,0,0,0,0,0.0
334,University of Szeged ,2.1,4,13,1,2,1,0,0,0,0,0,0,0,0,0.0
334,University of Tennessee ,2.1,10,25,0,0,3,0,0,0,2,2,0,0,0,0.0
344,Auburn University ,2.0,5,24,2,0,1,1,0,0,0,0,0,0,0,0.0
344,Durham University ,2.0,9,18,0,0,2,1,1,0,0,1,0,0,0,0.0
344,IUPUI ,2.0,7,14,2,0,1,0,0,0,0,0,0,0,0,0.0
344,Maastricht University ,2.0,7,16,1,0,1,2,0,0,0,0,0,0,0,0.0
344,Queen’s University ,2.0,3,31,0,1,0,0,0,0,0,0,0,0,0,0.0
344,Tilburg University ,2.0,6,18,0,2,0,0,0,0,0,1,0,0,0,0.0
344,Tongji University ,2.0,7,16,0,0,1,0,0,0,1,0,0,0,1,0.0
344,University of Ioannina ,2.0,6,3,0,0,0,0,0,1,0,0,0,0,0,0.0
344,University of Lübeck ,2.0,7,19,0,0,2,2,0,0,0,0,0,0,0,0.0
344,University of Ulm ,2.0,7,29,0,0,2,3,0,0,0,2,0,0,0,0.0
344,Uppsala University ,2.0,11,23,2,0,1,2,0,1,0,0,0,0,0,0.0
355,Boğaziçi University ,1.9,4,18,1,0,0,0,0,0,0,0,0,0,0,0.0
355,Clemson University ,1.9,7,30,1,0,2,1,0,0,0,2,0,0,0,0.0
355,College of William and Mary ,1.9,5,18,1,0,1,1,1,0,0,0,0,0,0,0.0
355,IIT Patna ,1.9,2,30,0,2,0,0,0,0,0,0,0,0,0,0.0
355,Portland State University ,1.9,4,33,0,0,2,0,0,0,0,0,0,1,0,0.0
355,Ruhr-University Bochum ,1.9,6,10,1,0,0,0,0,0,2,0,0,0,0,0.0
355,Sharif University of Technology ,1.9,4,18,2,0,1,2,1,0,0,0,0,0,0,0.0
355,TU Dortmund ,1.9,6,15,0,0,0,2,1,0,0,0,0,0,0,0.0
355,University of Exeter ,1.9,6,26,0,0,3,1,0,0,0,1,0,0,0,0.0
355,Università della Svizzera italiana ,1.9,7,9,1,0,0,0,0,1,0,0,0,0,0,0.0
365,Cyprus University of Technology ,1.8,1,9,1,0,1,1,0,0,0,0,0,0,0,0.0
365,DePaul University ,1.8,6,7,0,0,0,1,0,0,0,0,0,0,0,0.0
365,George Washington University ,1.8,4,25,0,0,1,1,0,0,1,0,0,0,0,0.0
365,Istanbul Technical University ,1.8,6,3,0,0,0,0,0,0,0,1,0,0,0,0.0
365,New Mexico State University ,1.8,5,40,0,0,0,3,0,0,0,0,0,0,0,0.0
365,USP ,1.8,7,14,1,0,0,3,0,0,0,0,0,0,0,0.0
365,Universidad Nacional de Córdoba ,1.8,7,6,0,2,0,0,0,0,0,0,0,0,0,0.0
365,University of Innsbruck ,1.8,4,17,1,1,0,2,0,0,0,0,0,0,0,0.0
365,University of Manitoba ,1.8,4,15,1,0,1,1,0,0,0,0,0,0,0,0.0
365,University of Salerno ,1.8,11,15,0,0,0,2,0,0,0,0,0,0,1,0.0
365,University of Tulsa ,1.8,4,11,0,0,0,1,0,0,1,0,0,0,0,0.0
365,Université de Sherbrooke ,1.8,5,17,0,0,2,2,0,0,0,0,0,0,0,0.0
365,Université du Québec à Montréal ,1.8,10,6,1,0,0,1,0,0,0,0,0,0,0,0.0
378,Charles University ,1.7,6,14,0,2,0,2,0,0,0,0,0,0,0,0.0
378,Dalhousie University ,1.7,4,7,0,0,0,1,0,0,0,0,0,0,0,0.0
378,Georgia State University ,1.7,3,12,1,0,1,0,0,0,0,0,0,0,0,0.0
378,Mississippi State University ,1.7,2,26,0,0,0,2,0,0,0,0,0,0,0,0.0
378,SUFE ,1.7,5,19,1,0,0,0,4,0,0,0,0,0,0,0.0
378,Toronto Metropolitan University ,1.7,2,16,0,0,1,1,0,0,0,0,0,0,0,0.0
378,University of Bergen ,1.7,5,20,0,0,0,2,2,0,0,0,0,0,0,0.0
378,University of Erlangen–Nuremberg ,1.7,7,11,0,0,1,1,0,0,0,0,0,0,0,0.0
378,University of Iowa ,1.7,5,12,0,1,0,1,0,0,1,0,0,0,0,0.0
378,University of New Brunswick ,1.7,4,11,1,1,0,0,0,0,0,0,0,0,0,0.0
378,University of Passau ,1.7,4,11,0,1,0,1,0,0,0,0,0,0,0,0.0
378,University of Salzburg ,1.7,3,18,1,0,1,0,0,0,0,0,0,0,0,0.0
378,University of Siegen ,1.7,3,24,0,0,3,0,0,0,0,0,0,0,0,0.0
391,Bilkent University ,1.6,5,12,0,0,3,0,0,0,0,0,0,0,0,0.0
391,City University of London ,1.6,4,10,0,0,0,2,0,0,0,0,0,0,0,0.0
391,Florida Atlantic University ,1.6,3,8,0,0,1,1,0,0,0,0,0,0,0,0.0
391,Hacettepe University ,1.6,4,10,0,1,2,0,0,0,0,1,0,0,0,0.0
391,Humboldt University of Berlin ,1.6,6,13,0,1,0,0,1,1,0,0,0,0,0,0.0
391,Kansas State University ,1.6,4,5,0,0,0,1,0,0,0,1,0,0,0,0.0
391,National Cheng Kung University ,1.6,5,7,0,2,0,0,0,0,0,0,0,0,0,0.0
391,Ontario Tech University ,1.6,3,11,0,0,1,0,0,0,0,0,0,1,0,0.0
391,Polytechnique Montreal ,1.6,1,16,1,1,0,1,0,0,0,0,0,0,0,0.0
391,TU Eindhoven ,1.6,6,12,1,0,0,2,0,1,0,0,0,0,0,0.0
391,University of Calgary ,1.6,5,6,1,0,0,1,0,0,0,0,0,0,0,0.0
391,University of Duisburg-Essen ,1.6,4,5,0,1,0,0,0,0,0,0,0,0,0,0.0
391,University of South Florida ,1.6,5,17,0,0,2,0,0,0,0,2,0,0,0,0.0
391,University of Wroclaw ,1.6,9,13,1,0,0,4,0,0,0,0,0,0,0,0.0
391,Victoria University of Wellington ,1.6,6,6,0,0,2,0,0,0,0,0,0,0,0,0.0
407,Freie Universitaet Berlin ,1.5,5,10,2,0,0,0,0,0,0,0,0,0,0,0.0
407,Keio University ,1.5,4,12,0,0,2,0,0,0,0,3,0,0,0,0.0
407,Koç University ,1.5,4,10,0,2,1,0,0,0,0,1,0,0,0,0.0
407,Masdar Institute ,1.5,2,20,0,0,0,1,0,0,0,0,0,0,0,0.0
407,Michigan Technological University ,1.5,5,6,0,0,0,2,0,0,0,0,0,0,0,0.0
407,OHSU ,1.5,4,9,0,3,0,0,0,0,0,0,0,0,0,0.0
407,Old Dominion University ,1.5,4,15,0,0,0,3,0,0,1,0,0,0,0,0.0
407,Queensland University of Technology ,1.5,5,15,0,0,1,0,0,0,0,4,0,0,0,0.0
407,Sabancı University ,1.5,2,12,0,0,0,1,0,0,0,1,0,0,0,0.0
407,Texas Tech University ,1.5,3,15,0,0,0,2,1,0,0,0,0,0,0,0.0
407,UNICAMP ,1.5,4,8,0,0,2,0,0,0,0,0,0,0,0,0.0
407,USP-ICMC ,1.5,7,7,0,1,0,2,0,0,0,0,0,0,0,0.0
407,Universidad de los Andes ,1.5,1,26,0,0,1,0,0,0,0,0,0,0,0,0.0
407,Universidade NOVA de Lisboa ,1.5,6,10,0,0,0,2,0,1,0,0,0,0,0,0.0
407,University of Dundee ,1.5,4,4,0,1,0,0,0,0,0,0,0,0,0,0.0
407,University of Halle-Wittenberg ,1.5,2,15,0,1,0,0,0,0,0,0,0,0,0,0.0
407,University of Kiel ,1.5,2,8,0,0,1,0,0,0,0,0,0,0,0,0.0
407,University of Luxembourg ,1.5,5,7,0,0,1,0,0,0,0,0,0,0,1,0.0
407,University of Marburg ,1.5,2,13,0,0,1,1,0,0,0,0,0,0,0,0.0
407,University of Miami ,1.5,2,9,1,0,0,0,0,1,0,0,0,0,0,0.0
407,University of Nebraska - Omaha ,1.5,3,8,0,0,0,2,0,0,0,0,0,0,0,0.0
407,University of Nevada ,1.5,5,4,0,0,1,1,0,0,0,0,0,0,0,0.0
407,University of Regina ,1.5,6,9,0,0,0,1,0,0,0,0,0,0,0,0.0
407,University of Southern Mississippi ,1.5,2,12,0,0,0,1,0,0,0,1,0,0,0,0.0
407,University of Tartu ,1.5,4,6,1,0,0,1,0,0,0,0,0,0,0,0.0
407,University of Texas - El Paso ,1.5,4,17,0,0,0,1,0,0,0,0,0,0,0,0.0
407,University of Victoria ,1.5,5,7,1,0,0,0,0,1,0,0,0,0,0,0.0
407,Özyeğin University ,1.5,5,5,1,0,0,0,0,0,0,1,0,0,0,0.0
435,Boise State University ,1.4,4,4,0,1,0,0,0,0,0,0,0,0,0,0.0
435,Cleveland State University ,1.4,3,16,0,0,3,1,0,0,0,0,0,1,0,0.0
435,Ecole Normale Superieure de Cachan ,1.4,6,3,0,0,0,1,0,0,0,0,0,0,0,0.0
435,Ecole Normale Superieure de Rennes ,1.4,1,14,0,0,0,1,0,0,0,0,0,0,0,0.0
435,IIIT Bangalore ,1.4,2,7,0,1,0,0,0,0,0,0,0,0,0,0.0
435,IPI PAN ,1.4,3,5,0,0,0,1,0,0,0,0,0,0,0,0.0
435,Masaryk University ,1.4,5,2,0,0,0,1,0,0,0,0,0,0,0,0.0
435,Massey University ,1.4,3,7,0,0,0,2,0,1,0,1,0,0,0,0.0
435,McMaster University ,1.4,3,6,1,0,0,0,0,0,0,0,0,0,0,0.0
435,Middlesex University ,1.4,4,6,0,0,1,1,0,0,0,0,0,0,0,0.0
435,NYU Shanghai ,1.4,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0
435,PUC-RIO ,1.4,3,7,2,0,0,0,0,0,0,0,0,0,0,0.0
435,TU Braunschweig ,1.4,2,9,0,0,1,0,0,0,1,0,0,0,0,0.0
435,The University of Alabama ,1.4,2,8,0,1,0,1,0,0,0,0,0,0,0,0.0
435,UFPE ,1.4,2,4,0,0,0,0,0,1,0,0,0,0,0,0.0
435,University of Cape Town ,1.4,2,10,0,0,0,1,0,0,0,0,0,0,0,0.0
435,University of Kansas ,1.4,4,8,1,0,0,1,0,0,1,0,0,0,0,0.0
435,University of Massachusetts Boston ,1.4,4,8,0,0,1,1,0,1,0,0,0,0,0,0.0
435,VISTEC ,1.4,2,8,0,0,1,0,0,0,0,0,0,0,0,0.0
435,Virginia Commonwealth University ,1.4,4,3,1,0,0,0,0,0,0,0,0,0,0,0.0
435,Wichita State University ,1.4,1,6,1,0,0,0,0,0,0,0,0,0,0,0.0
458,Ecole Normale Superieure de Lyon ,1.3,3,5,1,0,0,0,1,0,0,0,0,0,0,0.0
458,IIT Ropar ,1.3,2,4,0,0,0,1,0,0,0,0,0,0,0,0.0
458,IMDEA Networks Institute ,1.3,7,1,0,0,0,0,0,0,0,0,0,0,0,0.0
458,IMSc ,1.3,2,8,0,0,0,0,1,0,0,0,0,0,0,0.0
458,Kent State University ,1.3,1,10,1,0,0,0,0,1,0,0,0,0,0,0.0
458,Kyungpook National University ,1.3,3,3,0,0,1,0,0,0,0,0,0,0,0,0.0
458,LUMS ,1.3,6,5,0,1,0,0,0,0,1,0,0,0,0,0.0
458,PUC-RS ,1.3,2,4,0,0,1,0,0,0,0,0,0,0,0,0.0
458,Tata Inst. of Fundamental Research ,1.3,3,6,1,0,0,1,3,0,0,0,0,0,0,0.0
458,Texas State University ,1.3,5,4,0,0,1,0,0,0,0,0,0,0,0,0.0
458,Towson University ,1.3,1,5,1,0,0,0,0,0,0,0,0,0,0,0.0
458,UFPR ,1.3,3,2,0,0,1,0,0,0,0,0,0,0,0,0.0
458,University of Hildesheim ,1.3,1,7,0,0,0,1,0,0,0,0,0,0,0,0.0
458,University of Koblenz-Landau ,1.3,1,9,0,0,0,1,0,0,0,0,0,0,0,0.0
458,University of Magdeburg ,1.3,5,1,0,0,0,0,0,0,0,1,0,0,0,0.0
458,University of New Mexico ,1.3,4,2,0,0,0,0,1,0,0,0,0,0,0,0.0
458,University of Newcastle ,1.3,1,12,0,0,0,0,0,0,0,0,0,0,1,0.0
458,University of Texas at San Antonio ,1.3,5,4,0,0,0,1,0,0,0,0,0,1,1,0.0
458,University of Wisconsin - Milwaukee ,1.3,3,2,0,0,1,0,0,0,0,0,0,0,0,0.0
458,Université libre de Bruxelles ,1.3,3,5,0,0,0,1,0,0,0,0,0,0,0,0.0
458,Utah State University ,1.3,3,5,1,0,0,0,0,1,0,1,0,0,0,0.0
483,Aberystwyth University ,1.2,3,2,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Baylor University ,1.2,1,3,1,0,0,0,0,0,0,0,0,0,0,0.0
483,Brno University of Technology ,1.2,1,4,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Brunel University London ,1.2,2,6,0,0,1,1,0,0,0,0,0,0,0,0.0
483,East China Normal University ,1.2,3,2,0,0,0,0,0,0,0,0,0,1,0,0.0
483,Florida Institute of Technology ,1.2,1,4,0,0,1,0,0,0,0,0,0,0,0,0.0
483,IPM ,1.2,1,3,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Izmir Institute of Technology ,1.2,1,5,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Kyung Hee University ,1.2,2,3,0,0,1,0,0,0,0,1,0,0,0,0.0
483,Missouri S&T ,1.2,2,5,1,0,0,1,0,0,0,0,0,0,0,0.0
483,Nova Southeastern University ,1.2,1,3,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Oklahoma State University ,1.2,3,3,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Polytechnic University of Catalonia ,1.2,2,2,0,0,1,0,0,0,0,0,0,0,0,0.0
483,Royal Military College of Canada ,1.2,1,3,1,0,0,0,0,0,0,0,0,0,0,0.0
483,TOBB ETÜ ,1.2,2,2,0,0,1,0,0,0,0,0,0,0,0,0.0
483,UNC - Greensboro ,1.2,1,5,1,0,0,1,0,0,0,0,0,0,0,0.0
483,University of Alabama - Birmingham ,1.2,2,4,0,0,0,0,0,1,0,0,0,0,0,0.0
483,University of Bamberg ,1.2,3,4,0,0,0,1,0,0,0,0,0,0,0,0.0
483,University of Buenos Aires ,1.2,2,1,0,0,0,0,0,0,0,0,0,0,1,0.0
483,University of Cologne ,1.2,1,6,0,0,0,0,1,0,0,0,0,0,0,0.0
483,University of Hawaii at Manoa ,1.2,3,5,2,0,0,0,0,1,0,0,0,0,0,0.0
483,University of Malaya ,1.2,1,5,1,0,1,0,0,0,0,0,0,0,0,0.0
483,University of Malta ,1.2,1,4,0,1,0,0,0,0,0,0,0,0,0,0.0
483,University of Michigan-Dearborn ,1.2,3,4,1,1,0,0,0,0,0,0,0,0,0,0.0
483,University of Murcia ,1.2,2,3,0,0,1,0,0,0,0,0,0,0,0,0.0
483,University of Oldenburg ,1.2,1,4,0,0,0,1,0,0,0,0,0,0,0,0.0
513,BITS Pilani-Goa ,1.1,1,3,1,0,0,0,0,0,0,0,0,0,0,0.0
513,Brock University ,1.1,1,4,0,1,0,0,0,0,0,0,0,0,0,0.0
513,CMI ,1.1,2,1,0,0,0,0,1,0,0,0,0,0,0,0.0
513,Hamburg University of Technology ,1.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0
513,IIT Mandi ,1.1,1,3,0,0,1,0,0,0,0,0,0,0,0,0.0
513,IIT Roorkee ,1.1,2,1,0,0,0,0,0,1,0,0,0,0,0,0.0
513,IMDEA Software Institute ,1.1,3,3,0,0,0,0,0,0,3,0,0,0,0,0.0
513,IUST ,1.1,1,2,0,1,0,0,0,0,0,0,0,0,0,0.0
513,KMUTNB ,1.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0
513,Louisiana State University ,1.1,3,1,0,0,0,0,0,0,0,1,0,0,0,0.0
513,Stellenbosch University ,1.1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0
513,TU Ilmenau ,1.1,3,3,0,0,0,0,0,1,0,2,0,0,1,0.0
513,Universidade de Brasília ,1.1,1,2,0,0,1,0,0,0,0,0,0,0,0,0.0
513,University of Augsburg ,1.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
513,University of Bayreuth ,1.1,1,3,0,0,0,0,0,1,0,0,0,0,0,0.0
513,University of Cincinnati ,1.1,2,4,0,0,1,0,0,0,0,0,0,0,0,0.0
513,University of Kent ,1.1,2,3,0,0,0,1,0,0,0,0,0,0,0,0.0
513,University of Münster ,1.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
513,University of Piraeus ,1.1,1,2,0,0,0,1,0,0,0,0,0,0,0,0.0
513,University of Vermont ,1.1,3,1,0,0,0,0,0,0,1,0,0,0,0,0.0
554,Montana State University ,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
554,University of Denver ,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0
554,Western Michigan University ,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0
