Rank,University Name,Mean,Faculty
183,University of Zurich ,5.5,6
183,Worcester Polytechnic Institute ,5.5,18
187,California Institute of Technology ,5.4,10
187,Emory University ,5.4,10
187,Virginia Tech ,5.4,20
190,University of Bonn ,5.3,9
191,Shandong University ,5.1,15
191,Yonsei University ,5.1,14
191,York University ,5.1,11
194,Binghamton University ,5.0,8
194,Ecole Normale Superieure ,5.0,11
194,Tokyo Institute of Technology ,5.0,16
194,University of Birmingham ,5.0,19
194,University of Technology Sydney ,5.0,21
199,University of Manchester ,4.9,17
200,University of Texas at Arlington ,4.8,13
201,Stevens Institute of Technology ,4.7,8
201,University of Houston ,4.7,11
203,Carleton University ,4.5,7
203,King's College London ,4.5,21
203,Tulane University ,4.5,7
203,University of Connecticut ,4.5,12
207,Brandeis University ,4.4,8
207,IT University of Copenhagen ,4.4,13
207,National Tsing Hua University ,4.4,13
210,AUEB ,4.3,5
210,University of Hannover ,4.3,8
212,Shenzhen University ,4.2,31
212,University of South Carolina ,4.2,10
212,University of York ,4.2,9
212,Université Laval ,4.2,12
212,Wuhan University ,4.2,7
217,Lehigh University ,4.1,9
217,North Carolina State University ,4.1,24
217,Rensselaer Polytechnic Institute ,4.1,9
217,University of Potsdam ,4.1,5
221,Iowa State University ,4.0,13
221,University of Würzburg ,4.0,5
223,DTU ,3.9,15
223,Université Jean Monnet ,3.9,10
225,Case Western Reserve University ,3.8,7
225,Goethe University Frankfurt ,3.8,9
225,Hasso Plattner Institute ,3.8,6
225,University College Dublin ,3.8,18
225,University of Helsinki ,3.8,17
225,University of Ottawa ,3.8,9
225,VU Amsterdam ,3.8,15
232,National Chiao Tung University ,3.7,14
232,University of Crete ,3.7,7
234,HUST ,3.6,13
234,University of Haifa ,3.6,8
236,IIT Hyderabad ,3.5,8
236,Univ. of Maryland - Baltimore County ,3.5,10
236,University of Glasgow ,3.5,11
236,Université Paris Dauphine ,3.5,11
236,Waseda University ,3.5,6
241,Friedrich Schiller University Jena ,3.4,7
241,Georgetown University ,3.4,8
241,Illinois Institute of Technology ,3.4,7
241,TU Kaiserslautern ,3.4,7
241,UFMG ,3.4,23
241,UNIST ,3.4,13
241,University of Kentucky ,3.4,8
248,Concordia University ,3.3,10
248,Qatar Computing Research Institute ,3.3,12
248,TU Dresden ,3.3,8
248,University of A Coruña ,3.3,12
248,University of Bath ,3.3,12
248,University of Mannheim ,3.3,5
248,University of New Hampshire ,3.3,4
248,University of Queensland ,3.3,10
248,University of St Andrews ,3.3,7
257,Aarhus University ,3.2,10
257,Drexel University ,3.2,7
257,IIIT Delhi ,3.2,15
257,KTH Royal Institute of Technology ,3.2,16
257,Karlsruhe Institute of Technology ,3.2,10
257,Royal Holloway University of London ,3.2,13
257,University of Pisa ,3.2,13
264,Aalborg University ,3.1,14
264,Birkbeck University of London ,3.1,10
264,Bocconi University ,3.1,7
264,Dartmouth College ,3.1,9
264,Korea University ,3.1,9
264,NTUA ,3.1,8
264,Queen's University Belfast ,3.1,8
264,University of Göttingen ,3.1,8
264,Washington State University ,3.1,9
273,Colorado School of Mines ,3.0,4
273,HSE University ,3.0,8
273,Heriot-Watt University ,3.0,14
273,University of Aberdeen ,3.0,12
273,University of Massachusetts Lowell ,3.0,10
273,University of Sussex ,3.0,5
273,University of Vienna ,3.0,6
273,Vanderbilt University ,3.0,16
273,Wayne State University ,3.0,9
282,University of Auckland ,2.9,14
282,University of Düsseldorf ,2.9,7
282,University of Hamburg ,2.9,5
282,University of Leeds ,2.9,11
282,University of Padova ,2.9,8
287,ETS Montreal ,2.8,14
287,IIT Gandhinagar ,2.8,6
287,JKU Linz ,2.8,6
287,NJIT ,2.8,14
287,Syracuse University ,2.8,12
287,Tufts University ,2.8,7
287,UNC - Charlotte ,2.8,14
287,University of Athens ,2.8,9
287,University of Leipzig ,2.8,6
287,University of Warsaw ,2.8,15
287,West Virginia University ,2.8,6
298,Hunan University ,2.7,20
298,Lancaster University ,2.7,10
298,Open University UK ,2.7,5
298,University of Essex ,2.7,13
298,University of Georgia ,2.7,9
298,University of Guelph ,2.7,6
304,Bielefeld University ,2.6,6
304,Hanyang University ,2.6,6
304,Tampere University ,2.6,6
307,University of Bremen ,2.5,9
307,University of Strathclyde ,2.5,10
307,Western University ,2.5,6
310,CWI ,2.4,8
310,EURECOM ,2.4,9
310,Loughborough University ,2.4,6
310,University of Arkansas ,2.4,5
310,University of North Texas ,2.4,9
310,University of Nottingham ,2.4,9
316,Ariel University ,2.3,6
316,Chalmers/GU ,2.3,7
316,UCCS ,2.3,5
316,UFRGS ,2.3,11
316,Universidad de Chile ,2.3,6
316,University of Groningen ,2.3,6
316,University of Klagenfurt ,2.3,8
316,University of Louisiana - Lafayette ,2.3,8
316,University of Mainz ,2.3,4
316,University of Western Australia ,2.3,7
326,Bauhaus University Weimar ,2.2,2
326,Boston College ,2.2,4
326,Colorado State University ,2.2,5
326,IIT Jodhpur ,2.2,6
326,Trinity College Dublin ,2.2,9
326,University of Bern ,2.2,1
326,University of Memphis ,2.2,6
326,Utrecht University ,2.2,11
334,Florida International University ,2.1,7
334,Florida State University ,2.1,7
334,ISI Kolkata ,2.1,6
334,Middle East Technical University ,2.1,8
334,NTNU ,2.1,9
334,University of Konstanz ,2.1,6
334,University of Missouri ,2.1,7
334,University of Nebraska ,2.1,5
334,University of Szeged ,2.1,4
334,University of Tennessee ,2.1,10
344,Auburn University ,2.0,5
344,Durham University ,2.0,9
344,IUPUI ,2.0,7
344,Maastricht University ,2.0,7
344,Queen’s University ,2.0,3
344,Tilburg University ,2.0,6
344,Tongji University ,2.0,7
344,University of Ioannina ,2.0,6
344,University of Lübeck ,2.0,7
344,University of Ulm ,2.0,7
344,Uppsala University ,2.0,11
355,Boğaziçi University ,1.9,4
355,Clemson University ,1.9,7
355,College of William and Mary ,1.9,5
355,IIT Patna ,1.9,2
355,Portland State University ,1.9,4
355,Ruhr-University Bochum ,1.9,6
355,Sharif University of Technology ,1.9,4
355,TU Dortmund ,1.9,6
355,University of Exeter ,1.9,6
355,Università della Svizzera italiana ,1.9,7
365,Cyprus University of Technology ,1.8,1
365,DePaul University ,1.8,6
365,George Washington University ,1.8,4
365,Istanbul Technical University ,1.8,6
365,New Mexico State University ,1.8,5
365,USP ,1.8,7
365,Universidad Nacional de Córdoba ,1.8,7
365,University of Innsbruck ,1.8,4
365,University of Manitoba ,1.8,4
365,University of Salerno ,1.8,11
365,University of Tulsa ,1.8,4
365,Université de Sherbrooke ,1.8,5
365,Université du Québec à Montréal ,1.8,10
378,Charles University ,1.7,6
378,Dalhousie University ,1.7,4
378,Georgia State University ,1.7,3
378,Mississippi State University ,1.7,2
378,SUFE ,1.7,5
378,Toronto Metropolitan University ,1.7,2
378,University of Bergen ,1.7,5
378,University of Erlangen–Nuremberg ,1.7,7
378,University of Iowa ,1.7,5
378,University of New Brunswick ,1.7,4
378,University of Passau ,1.7,4
378,University of Salzburg ,1.7,3
378,University of Siegen ,1.7,3
391,Bilkent University ,1.6,5
391,City University of London ,1.6,4
391,Florida Atlantic University ,1.6,3
391,Hacettepe University ,1.6,4
391,Humboldt University of Berlin ,1.6,6
391,Kansas State University ,1.6,4
391,National Cheng Kung University ,1.6,5
391,Ontario Tech University ,1.6,3
391,Polytechnique Montreal ,1.6,1
391,TU Eindhoven ,1.6,6
391,University of Calgary ,1.6,5
391,University of Duisburg-Essen ,1.6,4
391,University of South Florida ,1.6,5
391,University of Waikato ,1.6,5
391,University of Wroclaw ,1.6,9
